Transaction_ID,Date,Customer_ID,Product_Category,Product_Name,Price,Quantity,Payment_Status,Total_Value,Refund_Amount,Issue_Category,Ticket_Count,Net_Revenue,Has_Return
100236,2023-11-24,C0012,Electronics,Smartphone Z,919.2,1,Paid,919.2,0.0,No complaint,,919.2,False
100061,2023-11-17,C0002,Electronics,Laptop X,1598.23,1,Paid,1598.23,0.0,No complaint,,1598.23,False
101131,2023-12-14,C0008,Smart Home,NordPlug,23.86,1,Paid,23.86,0.0,"Product Defect, Other",2.0,23.86,False
100391,2023-11-28,C0001,Smart Home,NordTherm,101.68,1,Paid,101.68,0.0,No complaint,,101.68,False
100319,2023-11-27,C0004,Accessories,Phone Case,35.72,1,Paid,35.72,0.0,No complaint,,35.72,False
100889,2023-12-09,C0001,Electronics,NoiseCancel Headphones,230.36,1,Paid,230.36,0.0,No complaint,,230.36,False
100105,2023-11-19,C0056,Smart Home,NordCam Mini,82.4,1,Paid,82.4,0.0,No complaint,,82.4,False
100603,2023-12-04,C0002,Electronics,Laptop X,1771.94,1,Paid,1771.94,0.0,No complaint,,1771.94,False
101189,2023-11-28,C0001,Smart Home,NordLock Pro,210.88,1,Paid,210.88,0.0,No complaint,,210.88,False
100563,2023-12-03,C0008,Electronics ,Smartphone Z,855.14,1,Paid,855.14,855.14,No complaint,,0.0,True
100366,2023-11-28,C0004, Electronics ,Smartphone Z,1024.64,1,Paid,1024.64,0.0,No complaint,,1024.64,False
100996,2023-12-12,C0003,Smart Home,NordLock Pro,222.61,1,Paid,222.61,0.0,No complaint,,222.61,False
100043,2023-11-16,C0002,Electronics ,TV Pro,1164.3,1,Paid,1164.3,0.0,No complaint,,1164.3,False
100725,2023-12-06,C0003, Accessories,Laptop Sleeve,27.13,2,Paid,54.26,0.0,No complaint,,54.26,False
100456,2023-11-30,C0001, Smart Home ,NordTherm,105.45,1,Paid,105.45,0.0,No complaint,,105.45,False
100537,2023-12-02,C0030,Electronics,NoiseCancel Headphones,290.46,1,Paid,290.46,0.0,Shipping Issue,1.0,290.46,False
101176,2023-11-24,C0017,Accessories,Phone Case,34.84,1,Paid,34.84,0.0,No complaint,,34.84,False
101058,2023-12-13,C0001,Electronics,Laptop X,1504.82,1,Paid,1504.82,0.0,No complaint,,1504.82,False
100032,2023-11-16,C0094,Electronics,Laptop X,1585.05,1,Paid,1585.05,0.0,No complaint,,1585.05,False
100455,2023-11-30,C0117, Smart Home ,NordLock Pro,205.04,2,Paid,410.08,0.0,Product Defect,2.0,410.08,False
100354,2023-11-28,C0002, Smart Home ,NordLock Pro,201.09,1,Paid,201.09,0.0,No complaint,,201.09,False
101181,2023-12-08,C0006,Accessories,Accessory Bundle,27.11,1,Paid,27.11,0.0,No complaint,,27.11,False
100062,2023-11-17,C0001, Smart Home ,NordLock Pro,221.97,1,Paid,221.97,0.0,No complaint,,221.97,False
101049,2023-12-13,C0001, Electronics ,NoiseCancel Headphones,288.0,1,Paid,288.0,0.0,No complaint,,288.0,False
100686,2023-12-05,C0059,Electronics,Tablet A,753.9,1,Paid,753.9,0.0,No complaint,,753.9,False
100233,2023-11-24,C0278,Electronics,TV Pro,1041.16,1,Paid,1041.16,0.0,No complaint,,1041.16,False
100094,2023-11-18,C0076, Accessories ,Charger,28.32,3,Paid,84.96000000000001,0.0,No complaint,,84.96000000000001,False
100215,2023-11-23,C0063,Electronics,Smartphone Z,1077.99,1,Paid,1077.99,0.0,No complaint,,1077.99,False
100310,2023-11-26,C0002,Electronics,TV Pro,1601.36,1,Paid,1601.36,0.0,No complaint,,1601.36,False
100290,2023-11-25,C0002, Accessories ,Phone Case,12.32,1,Paid,12.32,0.0,No complaint,,12.32,False
100737,2023-12-06,C0015,Electronics,Tablet A,672.16,1,Paid,672.16,0.0,No complaint,,672.16,False
100318,2023-11-27,C0005,Electronics,Smartphone Z,727.66,1,Paid,727.66,0.0,No complaint,,727.66,False
101141,2023-12-01,C0038, Accessories ,Accessory Bundle,55.24,3,Paid,165.72,0.0,No complaint,,165.72,False
100891,2023-12-09,C0008,Smart Home,NordLock Pro,212.31,2,Paid,424.62,0.0,No complaint,,424.62,False
101188,2023-12-10,C0062, Accessories ,Wireless Mouse,32.09,1,Paid,32.09,0.0,No complaint,,32.09,False
100096,2023-11-18,C0001,Electronics,NoiseCancel Headphones,166.52,1,Paid,166.52,0.0,No complaint,,166.52,False
100880,2023-12-09,C0001,Smart Home,NordLock Pro,231.5,1,Paid,231.5,0.0,No complaint,,231.5,False
100070,2023-11-17,C0124,Accessories,Accessory Bundle,86.79,1,Paid,86.79,0.0,Product Defect,1.0,86.79,False
100797,2023-12-07,C0097,Electronics,Tablet A,583.65,1,Paid,583.65,0.0,No complaint,,583.65,False
100721,2023-12-06,C0085,Smart Home,NordLock Pro,200.26,1,Paid,200.26,0.0,"Product Defect, Other",2.0,200.26,False
100796,2023-12-07,C0145,Accessories,Wireless Mouse,43.57,1,Paid,43.57,0.0,"Shipping Issue, Product Defect",3.0,43.57,False
100352,2023-11-28,C0013, Electronics ,Laptop X,1343.0,1,Paid,1343.0,0.0,No complaint,,1343.0,False
